publication,year,endorsed,source,source2,notes
St. Louis Post-Dispatch,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
St. Louis Post-Dispatch,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
St. Louis Post-Dispatch,2012,Obama,http://www.stltoday.com/news/opinion/columns/the-platform/editorial-obama-for-president-a-second-term-for-a-serious/article_c5371a41-ab43-5724-96e2-2d23eaa56589.html,,
St. Louis Post-Dispatch,2016,Clinton,http://www.stltoday.com/news/opinion/columns/the-platform/editorial-hillary-clinton-for-president/article_589a3b9b-8efb-53a6-9129-e0c8a9669ffa.html,,
St. Louis Post-Dispatch,2020,Biden,https://www.stltoday.com/opinion/editorial/editorial-we-recommend-joe-biden-for-president-and-overwhelming-rejection-of-trump/article_8e9ad239-0886-5182-a2a6-897acc0b26f5.html,,
St. Paul Pioneer Press,1980,None,"""Newspapers make endorsements."" New York Times. Oct 27, 1980. p. B8.",,
St. Paul Pioneer Press,1984,Mondale,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
St. Paul Pioneer Press,1988,None,"https://news.google.com/newspapers?nid=1980&dat=19881102&id=WH8iAAAAIBAJ&sjid=G6oFAAAAIBAJ&pg=1227,1309848",,"Endorsed both candidates after editorial board split, debatable whether this should be counted as ""both"" or ""none"" since it's a single paper"
St. Paul Pioneer Press,1992,Clinton,"https://news.google.com/newspapers?nid=1665&dat=19921019&id=W-8eAAAAIBAJ&sjid=iyQEAAAAIBAJ&pg=6852,4930126",,
St. Paul Pioneer Press,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
St. Paul Pioneer Press,2000,Bush,http://www.dkosopedia.com/static/2/0/0/2000_Media_Endorsements_6067.html#Saint_Paul_Pioneer_Press,,
St. Paul Pioneer Press,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
St. Paul Pioneer Press,2008,None,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
St. Paul Pioneer Press,2012,None,https://www.minnpost.com/braublog/2012/10/why-st-paul-pioneer-press-dropped-political-endorsements,,
St. Paul Pioneer Press,2016,None,https://www.minnpost.com/media/2016/10/yes-star-tribunes-political-endorsements-still-matter-heres-how-editorial-board-makes/,,
St. Paul Pioneer Press,2020,None,https://www.minnpost.com/media/2016/10/yes-star-tribunes-political-endorsements-still-matter-heres-how-editorial-board-makes/,,
State (Columbia),1980,Reagan,http://www.upi.com/Archives/1980/11/03/Ronald-Reagan-got-most-of-the-new-newspaper-endorsements/6748342075600/,,
State (Columbia),1984,Reagan,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
State (Columbia),1988,Bush,https://news.google.com/newspapers?id=WH8iAAAAIBAJ&sjid=G6oFAAAAIBAJ&pg=3965%2C111465,,
State (Columbia),1992,Bush,"Email from Cindi Ross Scoppe, Associate Editor of The State",,
State (Columbia),1996,Dole,"""Dole wins... in endorsements."" Editor & Publisher. Volume 129, Issue 43. Oct 26, 1996. pp. 10-11.",,
State (Columbia),2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
State (Columbia),2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
State (Columbia),2008,McCain,http://www.thestate.com/latest-news/article14334776.html,,
State (Columbia),2012,None,http://www.mcclatchydc.com/news/politics-government/election/article24739309.html,,
State (Columbia),2016,Clinton,http://www.thestate.com/opinion/editorials/article111181492.html,,
State (Columbia),2020,None,https://www.nytimes.com/2020/09/17/us/elections/mcclatchys-30-newspapers-probably-wont-be-endorsing-this-year.html,,
Syracuse Post-Standard,1980,Reagan/Unknown,http://www.upi.com/Archives/1980/10/16/The-Syracuse-Post-Standard-endorsed-Ronald-Reagan-for-president-and/7069340516800/,,
Syracuse Post-Standard,1984,Reagan,"Email from Johnathan Croyle, Syracuse Media Group Photo Editor",,
Syracuse Post-Standard,1988,Bush,"Email from Johnathan Croyle, Syracuse Media Group Photo Editor",,
Syracuse Post-Standard,1992,Perot,"""Perot for President."" Syracuse Post-Standard. Oct 25, 1992.",,As Syracuse Herald American (Sunday)?
Syracuse Post-Standard,1996,Clinton,"""For president: Bill Clinton."" Syracuse Post-Standard. Oct 28, 1996.",,
Syracuse Post-Standard,2000,Bush,"""Bush for president."" Syracuse Post-Standard. Oct 29, 2000.",,As Syracuse Herald American (Sunday)?
Syracuse Post-Standard,2004,None,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Syracuse Post-Standard,2008,Obama,http://blog.syracuse.com/opinion/2008/10/obama_for_president_the_illino.html,,
Syracuse Post-Standard,2012,None,http://blog.syracuse.com/opinion/2012/11/for_president_an_uninspiring_i.html,,
Syracuse Post-Standard,2016,Clinton,http://www.syracuse.com/opinion/index.ssf/2016/10/editorial_endorsement_hillary_clinton_for_president_in_2016.html,,Under Syracuse Media Group
Syracuse Post-Standard,2020,Biden,https://www.syracuse.com/opinion/2020/10/editorial-endorsement-joe-biden-for-president.html,,
Tacoma News Tribune,1980,Reagan,Confirmed by Tacoma Public Library via phone,,
Tacoma News Tribune,1984,Reagan,Confirmed by Tacoma Public Library via phone,,
Tacoma News Tribune,1988,Dukakis,Confirmed by Tacoma Public Library via phone,,
Tacoma News Tribune,1992,Clinton,Confirmed by Tacoma Public Library via phone,,
Tacoma News Tribune,1996,Clinton,"Merzer, Martin. ""Will networks delay projections? Ha!"" Miami Herald. Nov 2, 1996. p. 12A.",,
Tacoma News Tribune,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Tacoma News Tribune,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Tacoma News Tribune,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Tacoma News Tribune,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Tacoma News Tribune,2016,Clinton,http://www.thenewstribune.com/opinion/article109667622.html,,
Tacoma News Tribune,2020,None,https://www.nytimes.com/2020/09/17/us/elections/mcclatchys-30-newspapers-probably-wont-be-endorsing-this-year.html,,
Tampa Bay Times,1980,Carter,http://www.upi.com/Archives/1980/10/27/With-the-presidential-campaign-heading-into-its-final-week/2612341470800/,,As St. Petersburg Times
Tampa Bay Times,1984,Mondale,https://news.google.com/newspapers?id=mvAdAAAAIBAJ&sjid=1MgEAAAAIBAJ&pg=1611%2C7318880,,As St. Petersburg Times
Tampa Bay Times,1988,Dukakis,https://news.google.com/newspapers?id=guobAAAAIBAJ&sjid=MHoEAAAAIBAJ&pg=6868%2C2745604,,As St. Petersburg Times
Tampa Bay Times,1992,Clinton,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,As St. Petersburg Times
Tampa Bay Times,1996,Clinton,https://news.google.com/newspapers?id=dnpIAAAAIBAJ&sjid=Bg8EAAAAIBAJ&pg=5010%2C6116161,,As St. Petersburg Times
Tampa Bay Times,2000,Gore,http://www.sptimes.com/News/102900/Perspective/Gore_for_president.shtml,,As St. Petersburg Times
Tampa Bay Times,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,As St. Petersburg Times
Tampa Bay Times,2008,Obama,http://www.tampabay.com/opinion/editorials/the-times-recommends-obama-for-president/870039,,As St. Petersburg Times
Tampa Bay Times,2012,Obama,http://www.tampabay.com/opinion/editorials/obama-for-president/1257328,,
Tampa Bay Times,2016,Clinton,http://www.tampabay.com/opinion/editorials/times-recommends-hillary-clinton-for-president/2296789,,
Tampa Bay Times,2020,Biden,https://www.tampabay.com/opinion/2020/10/08/a-clear-choice-for-president-the-times-editorial-board-recommendation/,,
Tampa Tribune,1980,Reagan,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Tampa Tribune,1984,Reagan,http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,,
Tampa Tribune,1988,Bush,"Editor & Publisher. Volume 121, Issue 44. Oct 29, 1988. pp. 10-11.",,
Tampa Tribune,1992,Bush,http://www.sptimes.com/2004/10/19/Tampabay/Newspaper_s_president.shtml,,
Tampa Tribune,1996,Dole,"""Dole wins... in endorsements."" Editor & Publisher. Volume 129, Issue 43. Oct 26, 1996. pp. 10-11.",,
Tampa Tribune,2000,Bush,http://articles.latimes.com/2004/oct/29/nation/na-endorse29,,
Tampa Tribune,2004,None,http://articles.latimes.com/2004/oct/29/nation/na-endorse29,,
Tampa Tribune,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Tampa Tribune,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Tennessean,1980,Carter,"""Mr. Carter Is Clear Choice, And Should Be Re-Elected."" Tennessean. Oct 19, 1980. p. 4B.",,
Tennessean,1984,Mondale,http://www.upi.com/Archives/1984/10/25/The-Nashville-Banner-endorsed-President-Reagan-for-re-election-Thursday/3860467524800/,,
Tennessean,1988,Dukakis,"Editor & Publisher. Volume 121, Issue 45. Nov 5, 1988. p. 10.",,
Tennessean,1992,Clinton,"""In Nov. 3 election: Gov. Bill Clinton..."" Tennessean. Oct 25, 1992. p. 4-D.",,
Tennessean,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Tennessean,2000,Gore,https://www.gwu.edu/~action/natendorse5.html,,
Tennessean,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Tennessean,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Tennessean,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Tennessean,2016,None,http://www.tennessean.com/story/opinion/editorials/2016/10/23/we-endorse-legitimacy-us-electoral-system/92486718/,,
Tennessean,2020,None,https://www.tennessean.com/story/opinion/columnists/2020/10/21/2020-election-tennessean-coverage-editor-michael-anastasi/6005035002/,,
Toledo Blade,1980,Reagan,http://www.upi.com/Archives/1980/11/03/Ronald-Reagan-got-most-of-the-new-newspaper-endorsements/6748342075600/,,
Toledo Blade,1984,Reagan,http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,,
Toledo Blade,1988,Bush,https://news.google.com/newspapers?id=h0RPAAAAIBAJ&sjid=-wIEAAAAIBAJ&pg=6501%2C1550128,,
Toledo Blade,1992,Clinton,https://news.google.com/newspapers?id=z1ZPAAAAIBAJ&sjid=TgMEAAAAIBAJ&pg=6341%2C696952,,
Toledo Blade,1996,Clinton,"""President."" Toledo Blade. Nov 4, 1996. Opinion section, p. 8.",,
Toledo Blade,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Toledo Blade,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Toledo Blade,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Toledo Blade,2012,Obama,http://www.toledoblade.com/Editorials/2012/10/28/lt-div-class-libPageBodyLinebreak-gt-Re-elect-President-Obama-lt-div-gt.html,,
Toledo Blade,2016,None,http://www.toledoblade.com/Editorials/2016/11/06/A-guide-to-decide.html,,
Toledo Blade,2020,Trump,https://www.toledoblade.com/opinion/editorials/2020/11/01/the-man-and-the-record-president-donald-trump-2020-election/stories/20201101091,,"In 2018, the Toledo Blade and Pittsburgh Post-Gazette editorial pages were consolidated"
Tulsa World,1980,Reagan,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Tulsa World,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Tulsa World,1988,Bush,"Editor & Publisher. Volume 121, Issue 44. Oct 29, 1988. pp. 10-11.",,
Tulsa World,1992,Bush,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
Tulsa World,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Tulsa World,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Tulsa World,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Tulsa World,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Tulsa World,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Tulsa World,2016,None,http://www.tulsaworld.com/opinion/editorials/tulsa-world-editorial-endorsement-for-president-none-of-the-above/article_acd669eb-a7c8-51ec-9675-246a990faa9a.html?mode=jqm,,
Tulsa World,2020,None,https://tulsaworld.com/opinion/editorial/tulsa-world-editorial-tulsa-world-endorsements-listed/article_3457c0de-17c6-11eb-9c2d-43f11d572d9f.html,,
USA Today,1980,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,1984,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,1988,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,1992,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,1996,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,2000,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,2004,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,2008,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,2012,None,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,2016,Not Trump,http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/,,
USA Today,2020,Biden,https://www.usatoday.com/in-depth/opinion/todaysdebate/2020/10/20/elect-joe-biden-reject-donald-trump-editorials-debates/5919435002/,,
Wall Street Journal,1980,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,1984,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,1988,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,1992,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,1996,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,2000,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,2004,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,2008,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,2012,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,2016,None,http://www.wsj.com/articles/neither-for-president-1472598887,http://digitalcommons.uconn.edu/cgi/viewcontent.cgi?article=1385&context=srhonors_theses,
Wall Street Journal,2020,None,https://www.wsj.com/articles/the-biden-contradiction-11604012546,,
Washington Post,1980,Carter,http://www.upi.com/Archives/1980/10/30/The-Washington-Post-endorsed-President-Carter-in-its-Friday/3970341730000/,,
Washington Post,1984,Mondale,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Washington Post,1988,None,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Washington Post,1992,Clinton,http://www.nytimes.com/1992/10/12/us/the-1992-campaign-rivals-each-win-endorsements.html,,
Washington Post,1996,Clinton,http://articles.sun-sentinel.com/1996-11-04/news/9611030251_1_endorsements-tight-race-newspapers-editorial,,
Washington Post,2000,Gore,http://www.nber.org/papers/w14445.pdf,,
Washington Post,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Washington Post,2008,Obama,http://www.washingtonpost.com/wp-dyn/content/article/2008/10/16/AR2008101603436.html,,
Washington Post,2012,Obama,https://www.washingtonpost.com/opinions/washington-post-endorsement-four-more-years-for-president-obama/2012/10/25/6ca309a2-1965-11e2-bd10-5ff056538b7c_story.html,,
Washington Post,2016,Clinton,https://www.washingtonpost.com/opinions/hillary-clinton-for-president/2016/10/12/665f9698-8caf-11e6-bf8a-3d26847eeed4_story.html,https://www.washingtonpost.com/opinions/donald-trump-is-a-unique-threat-to-american-democracy/2016/07/22/a6d823cc-4f4f-11e6-aa14-e0c1087f7583_story.html?utm_term=.e3665ffa67e8,"On July 22, 2016, the Washington Post also published an anti-endorsement of Donald Trump"
Washington Post,2020,Biden,https://www.washingtonpost.com/opinions/2020/09/28/editorial-board-endorsement-joe-biden/,,
Wichita Eagle,1980,Reagan,"https://news.google.com/newspapers?nid=1988&dat=19881031&id=1GciAAAAIBAJ&sjid=9KwFAAAAIBAJ&pg=2442,5574346",,
Wichita Eagle,1984,Reagan,"https://news.google.com/newspapers?nid=1988&dat=19881031&id=1GciAAAAIBAJ&sjid=9KwFAAAAIBAJ&pg=2442,5574346",,
Wichita Eagle,1988,Dukakis,"https://news.google.com/newspapers?nid=1988&dat=19881031&id=1GciAAAAIBAJ&sjid=9KwFAAAAIBAJ&pg=2442,5574346",,As Wichita Eagle-Beacon
Wichita Eagle,1992,Clinton,"""Endorsement addendum."" Editor & Publisher. Volume 117, Issue 45. Nov 7, 1992, p. 15.",,
Wichita Eagle,1996,Dole,"Email from Phillip Brownlee, Wichita Eagle Opinion Editor",,
Wichita Eagle,2000,Bush,https://www2.gwu.edu/~action/natendorse5.html,,
Wichita Eagle,2004,Bush,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,,
Wichita Eagle,2008,None,http://www.nytimes.com/interactive/2008/11/03/us/politics/20081103-endorse-graphic.html,,
Wichita Eagle,2012,None,http://www.mcclatchydc.com/news/politics-government/election/article24739309.html,,
Wichita Eagle,2016,None,https://www.kansas.com/opinion/editorials/article112171127.html,,
Wichita Eagle,2020,None,https://www.nytimes.com/2020/09/17/us/elections/mcclatchys-30-newspapers-probably-wont-be-endorsing-this-year.html,,
Wilmington News Journal,1980,Carter,"""For president, Jimmy Carter."" Wilmington News Journal. Nov 2, 1980. p. H-2.",,
Wilmington News Journal,1984,Mondale,"""Walter Mondale."" Wilmington News Journal. Nov 4, 1984. p. H2.",,In combined Sunday News Journal
Wilmington News Journal,1988,Dukakis,"""For president."" Wilmington News-Journal. Nov 6, 1988. p. J2.",,In combined Sunday News Journal
Wilmington News Journal,1992,Clinton,"""These candidates deserve your support in Tuesday's election."" Wilmington News Journal. Nov 1, 1992. p. J2.",,
Wilmington News Journal,1996,Clinton,"""Bill Clinton is the best choice to lead the nation."" Wilmington Sunday News Journal. Nov 3, 1996. p. C2.",,
Wilmington News Journal,2000,Gore,https://www.gwu.edu/~action/natendorse5.html,,
Wilmington News Journal,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Wilmington News Journal,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Wilmington News Journal,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Wilmington News Journal,2016,Clinton,http://www.delawareonline.com/story/opinion/editorials/2016/11/04/editorial-news-journal-endorses-hillary-clinton-president/93300222/,,
Wilmington News Journal,2020,None,https://www.delawareonline.com/story/opinion/editorials/2020/10/25/you-cast-your-ballot-2020-consider-these-values/3740431001/,,
Wisconsin State Journal,1980,Reagan,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,1984,Reagan,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,1988,Bush,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,1992,Clinton,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,1996,Dole,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,2000,Bush,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,2004,Bush,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,2008,Obama,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,2012,Romney,http://host.madison.com/wsj/news/opinion/editorial/our-pick-mitt-romney/article_902e45bc-25cc-11e2-a89f-001a4bcf887a.html,,
Wisconsin State Journal,2016,Clinton,http://host.madison.com/wsj/opinion/editorial/our-endorsement-hillary-clinton-america-must-get-this-right/article_b526fe64-c2ca-5e3d-807a-0ef4ae23a4d5.html,,
Wisconsin State Journal,2020,Biden,https://madison.com/wsj/opinion/editorial/our-endorsement-joe-biden-is-the-better-choice-to-restore-unite-america/article_68eab039-b0cd-5e56-91c4-9515a495190c.html,,
